window_start_ts,criticality,count,p50_s,p95_s,p99_s
2026-09-01T03:52:15+00:00,high,129,0.385560207,0.409854171,0.42185168100000003
2026-09-01T03:52:15+00:00,low,548,0.35639166850000004,0.4043539174,0.41616833174
2026-09-01T03:52:16+00:00,high,188,0.0159435765,0.39035531369999993,0.39985009273000005
2026-09-01T03:52:16+00:00,low,721,0.011376657000000002,0.353104441,0.358920746
2026-09-01T03:52:17+00:00,high,151,0.011474847,0.014773721,0.0154920305
2026-09-01T03:52:17+00:00,low,601,0.011058954999999999,0.014161407,0.015501193
2026-09-01T03:52:18+00:00,high,150,0.011299008499999999,0.017321973049999998,0.028649701429999997
2026-09-01T03:52:18+00:00,low,602,0.0103885835,0.0141653251,0.031138340940000005
2026-09-01T03:52:19+00:00,high,150,0.011221142,0.016934562849999998,0.020954468230000002
2026-09-01T03:52:19+00:00,low,599,0.010142998,0.015101947499999999,0.018641152039999997
2026-09-01T03:52:20+00:00,high,150,0.010977675499999999,0.0160255539,0.018984463599999998
2026-09-01T03:52:20+00:00,low,602,0.0101062425,0.014211625949999999,0.017613889459999997
2026-09-01T03:52:21+00:00,high,150,0.010464292,0.0204341769,0.02894996851
2026-09-01T03:52:21+00:00,low,598,0.008874528000000001,0.0129725343,0.02245479944
2026-09-01T03:52:22+00:00,high,150,0.0104017665,0.014189466349999999,0.016544356790000003
2026-09-01T03:52:22+00:00,low,601,0.008680763000000001,0.012835608,0.014885572
2026-09-01T03:52:23+00:00,high,146,0.011253256,0.016648681499999998,0.0260783428
2026-09-01T03:52:23+00:00,low,602,0.0088115995,0.013678550349999999,0.01888595286
2026-09-01T03:52:24+00:00,high,154,0.011900632500000001,0.018684873400000003,0.024264583330000002
2026-09-01T03:52:24+00:00,low,598,0.0086392945,0.01481706215,0.018196746609999998
2026-09-01T03:52:25+00:00,high,149,0.011090387,0.0149801748,0.015811204
2026-09-01T03:52:25+00:00,low,601,0.008295221,0.012147362,0.013650658999999999
2026-09-01T03:52:26+00:00,high,151,0.010847827,0.016508802500000003,0.024437956
2026-09-01T03:52:26+00:00,low,599,0.008152089,0.011981448700000001,0.016405262299999997
2026-09-01T03:52:27+00:00,high,150,0.0111496715,0.013858427449999999,0.01459382522
2026-09-01T03:52:27+00:00,low,601,0.008322056,0.012133885,0.01322946
2026-09-01T03:52:28+00:00,high,150,0.010172804,0.0128195721,0.014233925570000002
2026-09-01T03:52:28+00:00,low,600,0.0082125345,0.01136111805,0.01284206562
2026-09-01T03:52:29+00:00,high,149,0.012785831999999999,0.023154439199999998,0.02766384672
2026-09-01T03:52:29+00:00,low,599,0.001997371,0.0152820179,0.02042632122
2026-09-01T03:52:30+00:00,high,150,0.011928537499999997,0.02015051245,0.02486128453
2026-09-01T03:52:30+00:00,low,602,0.0014653585,0.014406058800000001,0.019440693659999998
2026-09-01T03:52:31+00:00,high,151,0.010820838999999997,0.0183939665,0.027287738500000002
2026-09-01T03:52:31+00:00,low,599,0.001362441,0.011740790899999999,0.014822358419999999
2026-09-01T03:52:32+00:00,high,150,0.009215271,0.012753106449999997,0.01484038084
2026-09-01T03:52:32+00:00,low,600,0.006576153,0.010416588999999999,0.012630839859999998
2026-09-01T03:52:33+00:00,high,150,0.0089728455,0.01438157055,0.026985377419999998
2026-09-01T03:52:33+00:00,low,601,0.006446339,0.01000845,0.013176428
2026-09-01T03:52:34+00:00,high,150,0.009044620000000001,0.0117288993,0.012948045870000001
2026-09-01T03:52:34+00:00,low,600,0.0068112985,0.0096507187,0.01081414283
2026-09-01T03:52:35+00:00,high,150,0.0094885735,0.015260230849999999,0.018591358170000002
2026-09-01T03:52:35+00:00,low,600,0.005752702000000001,0.0108975956,0.014760952210000003
2026-09-01T03:52:36+00:00,high,148,0.0100234175,0.0148739592,0.01719683268
2026-09-01T03:52:36+00:00,low,593,0.0015035579999999999,0.011310894,0.01350104512
2026-09-01T03:52:37+00:00,high,153,0.009683754000000001,0.0225051526,0.027542096879999995
2026-09-01T03:52:37+00:00,low,607,0.003283844,0.0108914944,0.01495570956
2026-09-01T03:52:38+00:00,high,149,0.008678983999999999,0.0114167818,0.01229300228
2026-09-01T03:52:38+00:00,low,601,0.006655980000000001,0.009340732,0.01149387
2026-09-01T03:52:39+00:00,high,151,0.008037391,0.010660853000000001,0.0121463535
2026-09-01T03:52:39+00:00,low,599,0.006681203,0.0087425583,0.01081944668
2026-09-01T03:52:40+00:00,high,150,0.008254082,0.018321905800000003,0.03398435549
2026-09-01T03:52:40+00:00,low,601,0.00641159,0.009666715999999999,0.015440671999999999
2026-09-01T03:52:41+00:00,high,150,0.009239338,0.01638358215,0.018601954209999997
2026-09-01T03:52:41+00:00,low,600,0.0061532955,0.01082086885,0.01398503743
2026-09-01T03:52:42+00:00,high,149,0.008441404999999999,0.011657842199999999,0.01481981856
2026-09-01T03:52:42+00:00,low,599,0.006673283999999999,0.0091385919,0.010782369319999999
2026-09-01T03:52:43+00:00,high,150,0.008755655,0.012791234549999999,0.02055202531
2026-09-01T03:52:43+00:00,low,600,0.006689227499999999,0.009665790400000002,0.012817758569999999
2026-09-01T03:52:44+00:00,high,150,0.008093264,0.01057225675,0.012337706339999999
2026-09-01T03:52:44+00:00,low,600,0.006562320999999999,0.009148652900000002,0.01028871725
2026-09-01T03:52:45+00:00,high,150,0.008650904000000001,0.01177107065,0.01331620831
2026-09-01T03:52:45+00:00,low,600,0.006535902,0.0098647103,0.01137020484
2026-09-01T03:52:46+00:00,high,151,0.008850099,0.011796739999999998,0.014554082
2026-09-01T03:52:46+00:00,low,600,0.006712011,0.009448854599999999,0.011935804820000001
2026-09-01T03:52:47+00:00,high,150,0.0083560285,0.01148990505,0.021729936189999997
2026-09-01T03:52:47+00:00,low,601,0.006579691000000001,0.009549853,0.011116222
2026-09-01T03:52:48+00:00,high,150,0.0090596895,0.014295600200000001,0.015447924350000001
2026-09-01T03:52:48+00:00,low,600,0.0065409665,0.01033746595,0.01280906168
2026-09-01T03:52:49+00:00,high,150,0.008594603,0.0107397838,0.01237916577
2026-09-01T03:52:49+00:00,low,599,0.0067709,0.009330407700000001,0.010906620680000001
2026-09-01T03:52:50+00:00,high,150,0.0083574575,0.0109795163,0.01471104296
2026-09-01T03:52:50+00:00,low,600,0.006633068,0.0090396514,0.01153918236
2026-09-01T03:52:51+00:00,high,150,0.0087010165,0.015135274999999998,0.02322989503
2026-09-01T03:52:51+00:00,low,600,0.006422348,0.01014980715,0.01274326478
2026-09-01T03:52:52+00:00,high,149,0.00868033,0.011548629400000001,0.014678754039999999
2026-09-01T03:52:52+00:00,low,600,0.006682204000000001,0.00916002475,0.01124665266
2026-09-01T03:52:53+00:00,high,150,0.0081876365,0.0105764028,0.015195053239999999
2026-09-01T03:52:53+00:00,low,600,0.0067063355000000005,0.008817729049999999,0.01058432941
2026-09-01T03:52:54+00:00,high,150,0.008341936999999999,0.011954882750000001,0.02256562531
2026-09-01T03:52:54+00:00,low,599,0.006621972,0.009009138100000001,0.011217932039999998
2026-09-01T03:52:55+00:00,high,151,0.009169848999999999,0.0173338665,0.022634845
2026-09-01T03:52:55+00:00,low,601,0.006257504,0.010778465000000001,0.015982682
2026-09-01T03:52:56+00:00,high,149,0.008535158,0.0124782572,0.01574974784
2026-09-01T03:52:56+00:00,low,600,0.0065776865,0.0095740815,0.012243861459999998
2026-09-01T03:52:57+00:00,high,151,0.009448111,0.014723715500000002,0.017732883999999997
2026-09-01T03:52:57+00:00,low,600,0.006384295500000001,0.01097483405,0.014533216500000001
2026-09-01T03:52:58+00:00,high,149,0.008413974,0.021407195799999997,0.02810324864
2026-09-01T03:52:58+00:00,low,601,0.006245113,0.00999136,0.015294187
2026-09-01T03:52:59+00:00,high,150,0.0087616345,0.01544413485,0.02389904219
2026-09-01T03:52:59+00:00,low,600,0.006456185999999999,0.0102199595,0.0133819152
2026-09-01T03:53:00+00:00,high,151,0.008519451999999999,0.011230692499999998,0.0142315485
2026-09-01T03:53:00+00:00,low,600,0.006679724000000001,0.009176341900000001,0.010865318540000002
2026-09-01T03:53:01+00:00,high,149,0.009183333,0.0176602812,0.027095584720000003
2026-09-01T03:53:01+00:00,low,599,0.006239901999999999,0.011040857099999999,0.014664183360000001
2026-09-01T03:53:02+00:00,high,150,0.009792577,0.01606594045,0.01723396544
2026-09-01T03:53:02+00:00,low,600,0.001833342,0.0119710163,0.015276096989999998
2026-09-01T03:53:03+00:00,high,151,0.009735403,0.0150500045,0.022265033
2026-09-01T03:53:03+00:00,low,600,0.0020583800000000003,0.0113140602,0.014709965200000001
2026-09-01T03:53:04+00:00,high,149,0.008395983,0.0126226878,0.014664841719999998
2026-09-01T03:53:04+00:00,low,601,0.0065334239999999995,0.009645049000000001,0.011101476999999997
2026-09-01T03:53:05+00:00,high,150,0.008399326,0.0117242978,0.02152634808
2026-09-01T03:53:05+00:00,low,600,0.006694638500000001,0.008993482700000001,0.011259003699999999
2026-09-01T03:53:06+00:00,high,151,0.008265843,0.0121703815,0.016618146
2026-09-01T03:53:06+00:00,low,600,0.0066552795,0.009243955650000002,0.01240004016
2026-09-01T03:53:07+00:00,high,150,0.008245111000000001,0.011747410849999999,0.01457196716
