ts,limit,rtt_avg_s,rtt_min_s,gradient
2026-09-01T03:52:15.475307+00:00,14,0.10587323900019364,0.01634927000850439,0.5
2026-09-01T03:52:16.477238+00:00,10,0.02523466226583082,0.008017827000003308,0.5
2026-09-01T03:52:17.478909+00:00,9,0.010449426024179713,0.0068846659996779636,0.6588559011516055
2026-09-01T03:52:18.480596+00:00,8,0.01048573531512258,0.006631957003264688,0.6324741950810112
2026-09-01T03:52:19.481103+00:00,8,0.010004680963257998,0.006642415352689568,0.6639307517234896
2026-09-01T03:52:20.481580+00:00,7,0.010434157606387334,0.0066523542851064125,0.6375554727134017
2026-09-01T03:52:21.482749+00:00,6,0.010126641612470184,0.0060197260027052835,0.5944444597794842
2026-09-01T03:52:22.483286+00:00,6,0.009138940298763333,0.005671371996868402,0.620572168267238
2026-09-01T03:52:23.483525+00:00,6,0.009249981213040432,0.005692827047460014,0.6154420118642387
2026-09-01T03:52:24.484053+00:00,5,0.01149887540259818,0.005761206794813916,0.5010234995251942
2026-09-01T03:52:25.485132+00:00,5,0.009458338104836837,0.00579236150504039,0.6124079559048827
2026-09-01T03:52:26.486299+00:00,5,0.009269000736762994,0.005820219530251325,0.6279230842184522
2026-09-01T03:52:27.487067+00:00,5,0.009366646679611259,0.005849240453639401,0.6244754023199859
2026-09-01T03:52:28.488145+00:00,5,0.00913408553671747,0.005755050005973317,0.6300630734011626
2026-09-01T03:52:29.489138+00:00,5,0.009053906184613287,0.0057724448553926775,0.6375640234932732
2026-09-01T03:52:30.489793+00:00,4,0.011895046637181524,0.005817416312529531,0.5
2026-09-01T03:52:31.490222+00:00,4,0.008977486065067396,0.005829361297290234,0.6493311440463341
2026-09-01T03:52:32.491246+00:00,4,0.008600999030547195,0.005530711991013959,0.6430313468669343
2026-09-01T03:52:33.493632+00:00,4,0.007502255279211532,0.005307657003868371,0.7074748600698366
2026-09-01T03:52:34.494189+00:00,4,0.00777290694541156,0.0052817100076936185,0.6795025393699683
2026-09-01T03:52:35.495667+00:00,4,0.007541281101583692,0.005249103007372469,0.6960492437114087
2026-09-01T03:52:36.496085+00:00,4,0.008728608126102808,0.005258765556936851,0.602474699398014
2026-09-01T03:52:37.497346+00:00,4,0.00846152397002436,0.005270734129335325,0.6229060093675006
2026-09-01T03:52:38.495980+00:00,4,0.007741865208125458,0.005047220998676494,0.65193863016101
2026-09-01T03:52:39.496810+00:00,4,0.007155203738389306,0.005058488048962318,0.706966319047265
2026-09-01T03:52:40.498527+00:00,4,0.007146948086105505,0.004995135997887701,0.6989187465344577
2026-09-01T03:52:41.499707+00:00,4,0.007862149019297932,0.004818621004233137,0.6128885362520674
2026-09-01T03:52:42.501128+00:00,4,0.0076502361604632784,0.00484218255369342,0.6329455002602415
2026-09-01T03:52:43.502541+00:00,4,0.0072827136910365116,0.004852267176211172,0.6662718571764386
2026-09-01T03:52:44.503542+00:00,4,0.007592250351651833,0.004863595767759762,0.6406000253536948
2026-09-01T03:52:45.505120+00:00,4,0.006972991312439697,0.004868754078853545,0.6982303376985098
2026-09-01T03:52:46.505561+00:00,4,0.007795631390357492,0.004878484724356199,0.6257972549074671
2026-09-01T03:52:47.507196+00:00,4,0.007291465798355016,0.004882636688070646,0.6696371927263498
2026-09-01T03:52:48.507756+00:00,4,0.007373897795066402,0.0049028068036044755,0.6648867315308817
2026-09-01T03:52:49.509847+00:00,4,0.007686060790984967,0.00490578141365157,0.6382699209724693
2026-09-01T03:52:50.510580+00:00,4,0.007204871029699745,0.004919945393208236,0.6828637699311141
2026-09-01T03:52:51.514463+00:00,4,0.007622600703559513,0.0049367855738297745,0.6476510794438507
2026-09-01T03:52:52.517525+00:00,4,0.007450021040710212,0.004938309145245073,0.6628584158702326
2026-09-01T03:52:53.518634+00:00,4,0.007151421128765999,0.004952873937883889,0.6925719865610156
2026-09-01T03:52:54.519739+00:00,4,0.007250976077691761,0.00497413769092549,0.6859956008169498
2026-09-01T03:52:55.521173+00:00,4,0.007977919833425213,0.004979336656347065,0.6241397206681699
2026-09-01T03:52:56.521588+00:00,4,0.007400738358709906,0.004990985523774383,0.6743902137684016
2026-09-01T03:52:57.523844+00:00,4,0.007434270752870658,0.005000147247646094,0.6725807296856042
2026-09-01T03:52:58.525023+00:00,4,0.008026145936528178,0.005019387535694559,0.625379550208598
